Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
2,13.48,13.48,3,13.63,13.63,1,13.42,13.42,4,13.80,13.80
2,11.08,24.56,3,11.02,24.66,1,11.12,24.55,4,10.94,24.74
4,11.24,35.80,3,11.11,35.78,2,11.23,35.78,1,10.93,35.68
3,10.24,46.05,4,10.67,46.45,2,10.17,45.96,1,9.95,45.63
2,10.12,56.17,4,10.50,56.96,3,10.34,56.30,1,10.43,56.07
3,10.58,1:06.75,4,10.93,1:07.89,2,10.27,1:06.58,1,10.17,1:06.24
3,10.19,1:16.95,4,11.48,1:19.37,2,9.93,1:16.51,1,10.05,1:16.29
3,10.34,1:27.30,4,11.73,1:31.11,2,10.03,1:26.54,1,9.95,1:26.25
3,10.63,1:37.922,4,11.94,1:43.041,1,10.10,1:36.635,2,10.41,1:36.651
