Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Denis ZASLAVSKY POSITION,Denis ZASLAVSKY LAP TIME,Denis ZASLAVSKY ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Maurizio CARNINO POSITION,Maurizio CARNINO LAP TIME,Maurizio CARNINO ELAPSED TIME
1,6.853,6.853,2,7.051,7.051,3,7.093,7.093,5,7.155,7.155,4,7.144,7.144
1,9.383,16.236,5,10.172,17.222,4,9.793,16.886,2,9.305,16.460,3,9.507,16.651
1,8.833,25.068,5,9.593,26.814,4,8.836,25.722,2,8.734,25.193,3,8.604,25.255
3,9.057,34.125,5,9.639,36.453,4,9.040,34.762,1,8.879,34.072,2,8.835,34.089
3,9.27,43.394,5,9.92,46.369,4,9.31,44.070,1,9.22,43.285,2,9.30,43.382
