JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
2,12.91,12.91,1,12.83,12.83,3,13.02,13.02,4,13.17,13.17
2,10.11,23.02,1,10.09,22.92,3,10.15,23.17,4,10.11,23.28
2,10.11,33.13,1,10.04,32.96,3,10.05,33.22,4,10.03,33.31
2,9.60,42.73,1,9.66,42.62,3,9.58,42.80,4,9.66,42.97
2,9.61,52.34,1,9.61,52.23,3,9.63,52.43,4,9.56,52.53
2,9.67,1:02.01,1,9.61,1:01.84,3,9.68,1:02.11,4,9.80,1:02.33
2,9.51,1:11.52,1,9.56,1:11.40,3,9.55,1:11.66,4,9.47,1:11.80
2,9.68,1:21.20,1,9.68,1:21.08,3,9.66,1:21.32,4,9.61,1:21.41
2,9.68,1:30.88,1,9.68,1:30.76,3,9.66,1:30.98,4,9.70,1:31.11
3,9.58,1:40.46,1,9.48,1:40.24,2,9.44,1:40.42,4,9.51,1:40.62
3,9.63,1:50.09,1,9.47,1:49.71,2,9.43,1:49.85,4,9.57,1:50.19
3,9.73,1:59.82,1,9.55,1:59.26,2,9.54,1:59.39,4,9.79,1:59.98
3,9.30,2:09.12,1,9.52,2:08.78,2,9.48,2:08.87,4,9.25,2:09.23
3,9.27,2:18.39,2,9.35,2:18.13,1,9.07,2:17.94,4,9.25,2:18.48
3,8.89,2:27.28,2,8.98,2:27.11,1,9.07,2:27.01,4,9.13,2:27.61
3,9.28,2:36.56,2,9.37,2:36.48,1,9.36,2:36.37,4,9.29,2:36.90
3,9.38,2:45.94,2,9.23,2:45.71,1,9.26,2:45.63,4,9.30,2:46.20
3,9.25,2:55.19,2,9.23,2:54.94,1,9.09,2:54.72,4,9.28,2:55.48
3,9.49,3:04.68,2,8.90,3:03.84,1,8.92,3:03.64,4,9.24,3:04.72
3,8.95,3:13.63,2,8.90,3:12.74,1,8.86,3:12.50,4,8.96,3:13.68
3,9.17,3:22.80,2,8.83,3:21.57,1,8.99,3:21.49,4,9.30,3:22.98
3,9.37,3:32.17,2,9.33,3:30.90,1,9.31,3:30.80,4,9.51,3:32.49
3,9.41,3:41.58,2,9.15,3:40.05,1,9.16,3:39.96,4,9.43,3:41.92
3,9.36,3:50.94,2,9.29,3:49.34,1,9.15,3:49.11,4,9.26,3:51.18
4,9.89,4:00.83,2,8.74,3:58.08,1,8.82,3:57.93,3,9.45,4:00.63
4,9.35,4:10.18,2,8.99,4:07.07,1,8.82,4:06.75,3,9.21,4:09.84
4,9.29,4:19.47,2,8.75,4:15.82,1,8.93,4:15.68,3,9.22,4:19.06
