Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
4,9.44,9.44,5,9.66,9.66,1,9.12,9.12,3,9.41,9.41,2,9.27,9.27
3,12.11,21.55,5,12.16,21.82,1,12.16,21.28,4,12.28,21.69,2,12.14,21.41
3,11.68,33.23,5,11.65,33.47,1,11.66,32.94,4,11.69,33.38,2,11.67,33.08
3,11.49,44.72,5,11.51,44.98,1,11.50,44.44,4,11.45,44.83,2,11.48,44.56
4,11.33,56.05,5,11.17,56.15,1,11.39,55.83,2,11.11,55.94,3,11.40,55.96
3,10.18,1:06.23,5,10.27,1:06.42,2,10.32,1:06.15,1,10.11,1:06.05,4,10.31,1:06.27
3,9.89,1:16.12,4,9.81,1:16.23,1,9.78,1:15.93,2,9.98,1:16.03,5,10.21,1:16.48
3,9.63,1:25.75,4,9.65,1:25.88,2,9.69,1:25.62,1,9.50,1:25.53,5,9.51,1:25.99
3,9.54,1:35.29,4,9.47,1:35.35,2,9.55,1:35.17,1,9.55,1:35.08,5,9.52,1:35.51
3,9.37,1:44.66,4,9.43,1:44.78,2,9.38,1:44.55,1,9.37,1:44.45,5,9.55,1:45.06
3,9.26,1:53.92,4,9.37,1:54.15,2,9.28,1:53.83,1,9.30,1:53.75,5,9.78,1:54.84
3,9.17,2:03.09,4,9.47,2:03.62,2,9.12,2:02.95,1,9.10,2:02.85,5,10.17,2:05.01
3,8.95,2:12.04,4,9.78,2:13.40,2,9.02,2:11.97,1,9.00,2:11.85,5,10.59,2:15.60
3,9.08,2:21.118,4,10.14,2:23.540,2,9.11,2:21.079,1,9.02,2:20.867,5,11.07,2:26.664
