Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,7.117,7.117,1,7.052,7.052,3,7.218,7.218,4,7.598,7.598
2,8.957,16.073,3,9.308,16.359,1,8.776,15.993,4,8.862,16.460
3,8.752,24.825,2,8.264,24.623,1,8.506,24.499,4,8.639,25.099
3,8.826,33.651,2,8.770,33.393,1,8.449,32.948,4,8.577,33.675
3,8.32,41.963,4,8.98,42.373,1,8.57,41.512,2,8.10,41.768
