Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
1,13.07,13.07,3,13.29,13.29,2,13.19,13.19,4,13.45,13.45
1,10.37,23.44,3,10.35,23.64,2,10.36,23.55,4,10.28,23.73
1,10.22,33.66,3,10.13,33.77,2,10.21,33.76,4,10.22,33.95
4,9.95,43.61,1,9.57,43.34,2,9.67,43.43,3,9.59,43.54
4,9.70,53.31,1,9.63,52.97,2,9.65,53.08,3,9.66,53.20
4,9.48,1:02.79,1,9.41,1:02.38,2,9.47,1:02.55,3,9.44,1:02.64
4,9.45,1:12.24,1,9.49,1:11.87,2,9.44,1:11.99,3,9.48,1:12.12
4,9.63,1:21.87,1,9.60,1:21.47,2,9.57,1:21.56,3,9.58,1:21.70
4,9.94,1:31.801,1,9.84,1:31.310,2,9.81,1:31.369,3,9.86,1:31.559
