PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Annabel de CLEER POSITION,Annabel de CLEER LAP TIME,Annabel de CLEER ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
0,9.140,9.140,0,9.104,9.104,0,8.747,8.747,0,8.728,8.728,0,8.658,8.658
0,11.838,20.978,0,11.707,20.810,0,12.230,20.978,0,11.946,20.674,0,11.823,20.481
0,12.472,33.451,0,12.192,33.003,0,12.367,33.345,0,12.408,33.082,0,12.806,33.287
0,12.097,45.548,0,12.255,45.258,0,12.114,45.459,0,12.355,45.438,0,11.779,45.067
0,11.297,56.845,0,24.718,1:09.976,0,11.668,57.126,0,11.070,56.508,0,11.461,56.528
0,11.680,1:08.525,0,13.243,1:23.219,0,11.344,1:08.471,0,11.766,1:08.274,0,11.809,1:08.337
0,12.380,1:20.904,0,11.919,1:35.138,0,12.434,1:20.905,0,12.296,1:20.570,0,12.436,1:20.773
0,11.076,1:31.981,0,11.584,1:46.721,0,11.386,1:32.290,0,11.218,1:31.788,0,10.833,1:31.605
0,10.461,1:42.441,0,11.940,1:58.661,0,10.351,1:42.641,0,10.451,1:42.239,0,11.312,1:42.918
0,10.010,1:52.451,0,12.366,2:11.027,0,10.193,1:52.834,0,10.284,1:52.523,0,9.311,1:52.229
0,9.639,2:02.090,0,14.164,2:25.191,0,10.175,2:03.009,0,10.603,2:03.126,0,10.185,2:02.414
0,9.888,2:11.978,0,13.516,2:38.706,0,10.379,2:13.388,0,10.961,2:14.087,0,10.209,2:12.622
0,10.297,2:22.275,0,12.110,2:50.816,0,10.752,2:24.140,0,12.002,2:26.090,0,10.489,2:23.111
0,,,0,,,0,,,0,,,0,,
