DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Artem DERKACH POSITION,Artem DERKACH LAP TIME,Artem DERKACH ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
1,12.68,12.68,2,12.79,12.79,3,12.94,12.94,4,13.06,13.06,5,13.25,13.25
1,9.71,22.39,2,9.67,22.46,3,9.57,22.51,4,9.58,22.64,5,9.47,22.72
1,9.33,31.72,2,9.34,31.80,3,9.46,31.97,5,9.44,32.08,4,9.32,32.04
1,9.22,40.94,5,21.53,53.33,2,9.14,41.11,3,9.13,41.21,4,17.87,49.91
1,9.20,50.14,5,14.96,1:08.29,3,9.28,50.39,2,9.01,50.22,4,16.74,1:06.65
1,9.37,59.51,4,10.63,1:18.92,3,9.41,59.80,2,9.40,59.62,5,13.11,1:19.76
1,9.49,1:09.00,4,9.60,1:28.52,2,9.27,1:09.07,3,9.50,1:09.12,5,10.37,1:30.13
2,9.41,1:18.41,4,9.77,1:38.29,3,9.38,1:18.45,1,9.15,1:18.27,5,10.17,1:40.30
3,9.49,1:27.888,4,10.25,1:48.54,2,9.12,1:27.57,1,9.17,1:27.44,5,10.31,1:50.586
