SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Miyuki OZAWA POSITION,Miyuki OZAWA LAP TIME,Miyuki OZAWA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Nita AVRITH POSITION,Nita AVRITH LAP TIME,Nita AVRITH ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
