Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
2,13.35,13.35,1,13.25,13.25,3,13.43,13.43,5,13.58,13.58,4,13.54,13.54
3,9.95,23.30,2,9.96,23.21,4,9.96,23.39,5,9.90,23.48,1,9.57,23.11
3,9.65,32.95,2,9.67,32.88,4,9.60,32.99,5,9.68,33.16,1,9.68,32.79
4,9.54,42.49,3,9.57,42.45,1,9.22,42.21,5,9.44,42.60,2,9.56,42.35
3,9.61,52.10,4,9.75,52.20,1,9.70,51.91,5,9.65,52.25,2,9.65,52.00
3,9.57,1:01.67,4,9.59,1:01.79,1,9.58,1:01.49,5,9.66,1:01.91,2,9.61,1:01.61
3,9.57,1:11.24,4,9.55,1:11.34,2,9.64,1:11.13,5,9.58,1:11.49,1,9.44,1:11.05
3,9.57,1:20.81,4,9.57,1:20.91,2,9.56,1:20.69,5,9.55,1:21.04,1,9.55,1:20.60
5,9.96,1:30.77,3,9.59,1:30.50,2,9.65,1:30.34,4,9.57,1:30.61,1,9.66,1:30.26
