Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
1,12.41,12.41,2,12.52,12.52,3,12.65,12.65,4,12.91,12.91
1,9.40,21.81,2,9.38,21.90,3,9.36,22.01,4,9.22,22.13
1,9.22,31.03,2,9.19,31.09,3,9.16,31.17,4,9.14,31.27
2,9.55,40.58,1,9.44,40.53,3,9.50,40.67,4,9.51,40.78
2,9.44,50.02,1,9.40,49.93,3,9.43,50.10,4,9.41,50.19
2,9.61,59.63,1,9.62,59.55,3,9.63,59.73,4,9.65,59.84
2,9.41,1:09.04,1,9.41,1:08.96,3,9.37,1:09.10,4,9.39,1:09.23
4,9.56,1:18.60,1,9.42,1:18.38,2,9.35,1:18.45,3,9.33,1:18.56
4,9.81,1:28.407,2,9.68,1:28.057,1,9.42,1:27.870,3,9.67,1:28.223
