Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
1,7.21,7.21,3,7.26,7.26,5,7.60,7.60,4,7.28,7.28,2,7.23,7.23
2,9.64,16.85,5,32.75,40.01,4,9.77,17.37,1,9.25,16.53,3,10.03,17.26
2,9.12,25.97,5,18.25,58.26,3,9.59,26.96,1,8.87,25.40,4,34.57,51.83
2,9.45,35.42,5,11.45,1:09.71,3,9.65,36.61,1,9.02,34.42,4,13.19,1:05.02
2,10.17,45.581,0,,PEN,3,9.80,46.402,1,9.18,43.596,4,13.18,1:18.200
