Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,7.468,7.468,3,7.630,7.630,5,7.855,7.855,2,7.557,7.557,4,7.744,7.744,7,8.178,8.178,6,7.991,7.991
0,,,2,10.704,18.334,3,10.533,18.388,1,10.532,18.089,4,10.649,18.393,6,10.437,18.615,5,10.498,18.489
7,,39.142,1,9.725,28.059,6,20.242,38.630,2,9.979,28.067,3,9.796,28.188,5,9.841,28.456,4,9.809,28.298
6,15.242,54.384,2,10.093,38.152,7,15.850,54.480,1,10.069,38.136,3,10.006,38.194,4,9.947,38.404,5,10.152,38.450
6,11.509,1:05.893,2,10.578,48.730,7,11.429,1:05.910,1,10.523,48.659,4,10.754,48.948,5,10.648,49.052,3,10.476,48.926
6,10.810,1:16.703,1,10.588,59.318,7,10.890,1:16.800,2,10.668,59.327,3,10.633,59.582,5,10.735,59.786,4,10.736,59.662
6,10.701,1:27.404,2,10.455,1:09.773,7,10.731,1:27.531,1,10.330,1:09.657,3,10.263,1:09.845,5,10.261,1:10.047,4,10.322,1:09.984
6,10.802,1:38.205,2,10.208,1:19.981,7,10.855,1:38.386,1,10.158,1:19.815,3,10.169,1:20.013,5,10.151,1:20.199,4,10.094,1:20.078
6,11.598,1:49.803,2,9.747,1:29.728,7,11.504,1:49.890,1,9.880,1:29.695,3,9.776,1:29.789,5,9.962,1:30.160,4,9.891,1:29.969
6,10.528,2:00.331,3,9.684,1:39.412,7,10.449,2:00.339,2,9.714,1:39.409,1,9.612,1:39.401,5,9.634,1:39.794,4,9.635,1:39.605
7,10.738,2:11.068,2,9.802,1:49.213,6,10.641,2:10.980,1,9.712,1:49.121,3,9.871,1:49.273,5,9.614,1:49.408,4,9.709,1:49.314
7,10.613,2:21.681,2,9.644,1:58.858,6,10.416,2:21.396,1,9.597,1:58.718,4,9.670,1:58.943,5,9.768,1:59.176,3,9.629,1:58.942
7,11.202,2:32.883,1,9.359,2:08.217,6,11.335,2:32.731,2,9.796,2:08.514,3,9.592,2:08.535,5,9.668,2:08.844,4,9.709,2:08.652
6,11.800,2:44.684,1,9.671,2:17.889,7,13.250,2:45.981,2,9.715,2:18.229,5,10.683,2:19.218,4,10.083,2:18.927,3,10.108,2:18.760
