Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,8.97,8.97,3,9.17,9.17,2,9.05,9.05,5,9.48,9.48,6,9.65,9.65,4,9.36,9.36
1,13.29,22.26,3,13.38,22.55,2,13.39,22.44,5,13.33,22.81,6,13.24,22.89,4,13.28,22.64
2,12.60,34.86,3,12.40,34.95,4,12.66,35.10,1,11.92,34.73,6,12.55,35.44,5,12.63,35.27
2,11.93,46.79,3,11.93,46.88,4,11.91,47.01,1,12.01,46.74,5,11.60,47.04,6,11.84,47.11
1,11.47,58.26,3,11.63,58.51,4,11.67,58.68,2,11.67,58.41,5,11.82,58.86,6,11.89,59.00
2,11.06,1:09.32,1,10.70,1:09.21,4,10.89,1:09.57,3,11.04,1:09.45,5,10.79,1:09.65,6,10.71,1:09.71
2,10.09,1:19.41,3,10.34,1:19.55,4,10.08,1:19.65,1,9.89,1:19.34,5,10.13,1:19.78,6,10.15,1:19.86
3,10.12,1:29.53,2,9.90,1:29.45,4,9.95,1:29.60,1,10.02,1:29.36,5,9.89,1:29.67,6,9.92,1:29.78
3,9.67,1:39.20,2,9.66,1:39.11,4,9.70,1:39.30,1,9.64,1:39.00,5,9.73,1:39.40,6,9.72,1:39.50
4,9.38,1:48.58,2,9.34,1:48.45,3,9.24,1:48.54,1,9.37,1:48.37,5,9.27,1:48.67,6,9.26,1:48.76
4,9.15,1:57.73,2,9.05,1:57.50,3,9.04,1:57.58,1,9.01,1:57.38,5,9.14,1:57.81,6,9.16,1:57.92
4,8.90,2:06.63,2,8.92,2:06.42,3,8.95,2:06.53,1,8.93,2:06.31,5,8.95,2:06.76,6,8.97,2:06.89
4,9.01,2:15.64,3,9.12,2:15.54,2,8.89,2:15.42,1,8.95,2:15.26,5,8.97,2:15.73,6,8.91,2:15.80
3,9.01,2:24.645,4,9.38,2:24.916,2,9.14,2:24.558,1,9.09,2:24.342,5,9.28,2:25.010,6,12.47,2:28.270
