Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME
3,13.08,13.08,1,12.83,12.83,2,12.97,12.97
3,9.36,22.44,1,9.35,22.18,2,9.32,22.29
3,9.03,31.47,1,9.06,31.24,2,9.06,31.35
3,8.98,40.45,1,8.98,40.22,2,9.03,40.38
2,8.94,49.39,1,9.05,49.27,3,9.05,49.43
2,9.11,58.50,1,9.16,58.43,3,9.50,58.93
1,9.20,1:07.70,2,9.54,1:07.97,3,9.86,1:08.79
1,9.46,1:17.16,2,9.86,1:17.83,3,10.27,1:19.06
1,9.90,1:27.039,2,10.32,1:28.133,3,10.74,1:29.776
