BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Milos APELTAUER POSITION,Milos APELTAUER LAP TIME,Milos APELTAUER ELAPSED TIME
2,14.41,14.41,3,14.52,14.52,4,14.64,14.64,5,14.73,14.73,1,14.34,14.34
2,11.07,25.48,4,11.12,25.64,5,11.14,25.78,3,10.89,25.62,1,11.13,25.47
1,10.01,35.49,3,10.09,35.73,5,10.13,35.91,2,9.99,35.61,4,10.26,35.73
1,9.91,45.40,2,9.72,45.45,5,9.80,45.71,3,9.89,45.50,4,9.96,45.69
2,9.57,54.97,1,9.43,54.88,5,9.58,55.29,4,9.68,55.18,3,9.39,55.08
2,9.33,1:04.30,1,9.39,1:04.27,5,9.50,1:04.79,4,9.28,1:04.46,3,9.32,1:04.40
1,8.94,1:13.24,5,14.10,1:18.37,4,9.53,1:14.32,3,9.31,1:13.77,2,9.27,1:13.67
1,9.13,1:22.37,5,22.49,1:40.86,4,9.89,1:24.21,3,9.48,1:23.25,2,9.40,1:23.07
1,9.42,1:31.786,4,13.08,1:53.938,3,10.15,1:34.353,0,,PEN,2,9.34,1:32.405
