Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
1,15.38,15.38,3,15.47,15.47,2,15.46,15.46,4,15.66,15.66
2,11.92,27.30,3,11.90,27.37,1,11.71,27.17,4,11.77,27.43
1,11.34,38.64,3,11.45,38.82,2,11.60,38.77,4,11.60,39.03
1,10.13,48.77,2,10.05,48.87,3,10.11,48.88,4,9.96,48.99
2,9.73,58.50,1,9.42,58.29,3,9.73,58.61,4,9.73,58.72
2,9.84,1:08.34,1,9.75,1:08.04,3,9.84,1:08.45,4,9.81,1:08.53
2,10.25,1:18.59,1,9.92,1:17.96,3,10.26,1:18.71,4,10.18,1:18.71
3,10.39,1:28.98,1,10.15,1:28.11,4,10.45,1:29.16,2,10.04,1:28.75
4,10.90,1:39.872,1,10.44,1:38.549,3,10.60,1:39.760,2,10.25,1:38.994
