VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,KIM Chanseo POSITION,KIM Chanseo LAP TIME,KIM Chanseo ELAPSED TIME,DOBRAN Flora POSITION,DOBRAN Flora LAP TIME,DOBRAN Flora ELAPSED TIME,FAJKUSOVA Marketa POSITION,FAJKUSOVA Marketa LAP TIME,FAJKUSOVA Marketa ELAPSED TIME,DOSKOVIC Mia POSITION,DOSKOVIC Mia LAP TIME,DOSKOVIC Mia ELAPSED TIME
2,8.82,8.82,1,8.66,8.66,5,9.24,9.24,3,8.96,8.96,4,9.09,9.09,6,9.38,
2,11.56,20.38,1,11.56,20.22,5,11.57,20.81,3,11.55,20.51,4,11.55,20.64,6,11.58,
1,10.87,31.25,2,11.04,31.26,5,10.77,31.58,3,10.81,31.32,4,10.82,31.46,6,10.70,
1,11.78,43.03,2,11.87,43.13,3,11.59,43.17,4,11.89,43.21,5,11.83,43.29,6,11.67,
2,11.58,54.61,3,11.58,54.71,1,11.33,54.50,4,11.59,54.80,5,11.64,54.93,6,11.67,
2,11.97,1:06.58,3,12.00,1:06.71,1,11.96,1:06.46,4,12.03,1:06.83,5,11.97,1:06.90,6,12.00,
3,11.88,1:18.46,2,11.67,1:18.38,1,11.89,1:18.35,4,11.75,1:18.58,5,11.85,1:18.75,6,11.89,
3,10.59,1:29.05,1,10.23,1:28.61,2,10.59,1:28.94,4,10.61,1:29.19,5,10.60,1:29.35,6,11.04,
3,9.90,1:38.95,1,10.12,1:38.73,2,9.93,1:38.87,4,9.89,1:39.08,5,10.00,1:39.35,6,11.41,
2,9.87,1:48.82,3,10.19,1:48.92,1,9.83,1:48.70,4,10.05,1:49.13,5,10.20,1:49.55,6,12.26,
2,9.82,1:58.64,3,9.89,1:58.81,1,9.84,1:58.54,4,10.08,1:59.21,5,10.68,2:00.23,6,12.49,
2,9.73,2:08.37,3,10.01,2:08.82,1,9.73,2:08.27,4,10.65,2:09.86,5,11.54,2:11.77,6,13.73,
2,9.77,2:18.14,3,10.40,2:19.22,1,9.73,2:18.00,4,11.39,2:21.25,5,12.24,2:24.01,6,13.66,
2,9.95,2:28.09,3,10.82,2:30.04,1,9.94,2:27.94,4,12.13,2:33.38,5,12.46,2:36.47,6,14.83,2:48.31
