Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
2,6.96,6.96,1,6.90,6.90,4,7.21,7.21,3,7.08,7.08
1,9.24,16.20,2,9.31,16.21,4,9.24,16.45,3,9.23,16.31
3,9.04,25.24,1,8.94,25.15,4,8.88,25.33,2,8.88,25.19
1,8.86,34.10,3,9.08,34.23,4,9.13,34.46,2,8.97,34.16
1,9.06,43.152,3,9.25,43.480,4,9.03,43.490,2,9.03,43.187
