FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
2,13.94,13.94,3,14.03,14.03,4,14.15,14.15,1,13.83,13.83
2,10.55,24.49,3,10.57,24.60,4,10.57,24.72,1,10.55,24.38
2,10.13,34.62,3,10.09,34.69,4,10.08,34.80,1,10.13,34.51
1,9.53,44.15,3,9.63,44.32,4,9.60,44.40,2,9.74,44.25
1,9.42,53.57,2,9.39,53.71,4,9.50,53.90,3,9.55,53.80
1,9.09,1:02.66,2,9.05,1:02.76,4,9.35,1:03.25,3,9.15,1:02.95
1,9.05,1:11.71,2,9.01,1:11.77,4,9.18,1:12.43,3,9.13,1:12.08
1,9.10,1:20.81,2,9.28,1:21.05,4,9.33,1:21.76,3,9.13,1:21.21
1,9.42,1:30.23,2,9.26,1:30.31,4,9.67,1:31.404,3,9.41,1:30.62
