Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
3,13.26,13.26,5,13.47,13.47,1,12.96,12.96,4,13.44,13.44,6,13.66,13.66,2,13.11,13.11
4,17.90,31.16,5,17.77,31.24,1,17.91,30.87,2,17.55,30.99,6,17.81,31.47,3,17.97,31.08
6,15.30,46.46,5,15.11,46.35,2,15.13,46.00,4,15.17,46.16,1,14.50,45.97,3,15.00,46.08
1,11.49,57.95,6,12.38,58.73,3,12.26,58.26,5,12.35,58.51,2,12.14,58.11,4,12.31,58.39
2,11.69,1:09.64,6,11.26,1:09.99,1,11.29,1:09.55,5,11.36,1:09.87,3,11.60,1:09.71,4,11.42,1:09.81
5,11.93,1:21.57,1,11.19,1:21.18,2,11.78,1:21.33,4,11.68,1:21.55,6,11.96,1:21.67,3,11.65,1:21.46
4,10.92,1:32.49,1,11.11,1:32.29,2,11.03,1:32.36,6,11.04,1:32.59,5,10.90,1:32.57,3,10.95,1:32.41
4,11.32,1:43.81,3,11.40,1:43.69,1,11.24,1:43.60,6,11.46,1:44.05,5,11.37,1:43.94,2,11.27,1:43.68
4,11.08,1:54.89,3,11.10,1:54.79,2,11.02,1:54.62,6,11.04,1:55.09,5,10.97,1:54.91,1,10.92,1:54.60
4,10.09,2:04.98,3,10.03,2:04.82,2,10.06,2:04.68,6,10.16,2:05.25,5,10.19,2:05.10,1,9.98,2:04.58
4,9.91,2:14.89,3,9.96,2:14.78,2,10.00,2:14.68,6,10.15,2:15.40,5,10.12,2:15.22,1,9.98,2:14.56
4,9.80,2:24.69,3,9.83,2:24.61,2,9.82,2:24.50,6,10.38,2:25.78,5,10.21,2:25.43,1,9.82,2:24.38
4,9.96,2:34.65,3,9.91,2:34.52,2,9.93,2:34.43,6,11.00,2:36.78,5,10.77,2:36.20,1,9.92,2:34.30
4,10.15,2:44.798,3,10.15,2:44.670,2,10.21,2:44.634,6,11.50,2:48.273,5,11.47,2:47.670,1,10.22,2:44.518
