Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
3,9.38,9.38,2,9.33,9.33,5,9.59,9.59,1,9.33,9.33,4,9.45,9.45,6,9.62,9.62
3,12.18,21.56,1,12.04,21.37,6,12.22,21.81,2,12.16,21.49,4,12.19,21.64,5,12.17,21.79
3,11.45,33.01,1,11.43,32.80,6,11.44,33.25,2,11.41,32.90,4,11.44,33.08,5,11.38,33.17
3,10.98,43.99,1,10.99,43.79,6,11.22,44.47,2,10.98,43.88,4,10.98,44.06,5,11.02,44.19
3,10.48,54.47,1,10.42,54.21,6,10.50,54.97,2,10.46,54.34,4,10.51,54.57,5,10.47,54.66
3,10.10,1:04.57,1,10.17,1:04.38,6,10.29,1:05.26,2,10.13,1:04.47,4,10.08,1:04.65,5,10.05,1:04.71
3,9.84,1:14.41,1,9.84,1:14.22,6,10.34,1:15.60,2,9.84,1:14.31,4,9.82,1:14.47,5,9.87,1:14.58
4,9.67,1:24.08,1,9.71,1:23.93,6,10.78,1:26.38,3,9.77,1:24.08,5,9.78,1:24.25,2,9.42,1:24.00
5,10.09,1:34.17,1,9.20,1:33.13,6,11.07,1:37.45,3,9.34,1:33.42,4,9.18,1:33.43,2,9.19,1:33.19
5,9.80,1:43.97,1,9.10,1:42.23,6,11.45,1:48.90,4,9.27,1:42.69,3,9.02,1:42.45,2,9.15,1:42.34
5,9.71,1:53.68,1,9.02,1:51.25,6,12.76,2:01.66,4,9.32,1:52.01,3,9.02,1:51.47,2,9.02,1:51.36
5,10.23,2:03.91,1,8.96,2:00.21,6,12.17,2:13.83,4,9.84,2:01.85,3,9.05,2:00.52,2,9.03,2:00.39
5,10.67,2:14.58,1,9.10,2:09.31,6,12.38,2:26.21,4,10.32,2:12.17,2,9.07,2:09.59,3,9.51,2:09.90
5,11.11,2:25.690,1,9.28,2:18.589,6,12.38,2:38.581,4,10.94,2:23.105,2,9.68,2:19.268,3,9.98,2:19.876
