Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.657,6.657,2,7.064,7.064,3,7.079,7.079,4,7.214,7.214
1,9.166,15.822,3,9.127,16.191,2,9.013,16.091,4,9.063,16.276
2,8.979,24.801,3,8.691,24.882,1,8.668,24.759,4,8.704,24.980
4,9.270,34.070,2,8.852,33.734,1,8.906,33.664,3,8.857,33.836
3,9.26,43.324,0,,DQ,1,9.06,42.720,2,9.08,42.911
