DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,Denys IOFIN POSITION,Denys IOFIN LAP TIME,Denys IOFIN ELAPSED TIME,WOLF Tobias POSITION,WOLF Tobias LAP TIME,WOLF Tobias ELAPSED TIME,Jing Feng XU POSITION,Jing Feng XU LAP TIME,Jing Feng XU ELAPSED TIME
1,6.97,6.97,2,7.20,7.20,4,7.81,7.81,5,7.98,,3,7.62,
1,9.12,16.09,2,9.03,16.23,4,9.66,17.47,5,9.72,,3,9.43,
1,8.80,24.89,2,8.76,24.99,4,8.91,26.38,5,9.01,,3,9.18,
1,8.78,33.67,2,8.85,33.84,4,9.11,35.49,5,9.14,,3,9.20,
2,9.10,42.777,1,8.82,42.666,3,20.03,55.528,3,9.89,,5,20.61,
