GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,6.71,6.71,3,7.14,7.14,2,7.00,7.00,4,7.31,7.31
1,9.13,15.84,3,9.08,16.22,2,8.95,15.95,4,9.08,16.39
2,8.70,24.54,3,8.47,24.69,1,8.50,24.45,4,8.51,24.90
3,8.86,33.40,1,8.51,33.20,2,8.86,33.31,4,8.67,33.57
3,8.81,42.205,1,8.90,42.099,2,8.86,42.169,4,8.83,42.391
