Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,7.93,7.93,4,8.30,8.30,3,8.13,8.13,2,8.00,8.00
2,10.27,18.20,4,10.15,18.45,3,10.20,18.33,1,9.80,17.80
2,9.84,28.04,4,9.83,28.28,3,9.81,28.14,1,9.44,27.24
2,9.93,37.97,4,9.98,38.26,3,9.85,37.99,1,9.72,36.96
4,11.15,49.117,3,10.81,49.064,2,10.36,48.343,1,10.06,47.015
