Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
2,12.70,12.70,1,12.64,12.64,4,12.79,12.79,3,12.72,12.72
3,9.62,22.32,2,9.63,22.27,4,9.62,22.41,1,9.48,22.20
4,9.55,31.87,1,9.35,31.62,3,9.34,31.75,2,9.42,31.62
4,9.14,41.01,2,9.14,40.76,3,9.11,40.86,1,9.11,40.73
3,8.81,49.82,4,9.10,49.86,2,8.83,49.69,1,8.89,49.62
3,8.87,58.69,4,8.96,58.82,2,8.90,58.59,1,8.85,58.47
3,8.75,1:07.44,4,8.73,1:07.55,2,8.74,1:07.33,1,8.79,1:07.26
3,8.75,1:16.19,4,8.80,1:16.35,2,8.80,1:16.13,1,8.78,1:16.04
4,9.23,1:25.417,3,8.93,1:25.280,2,8.91,1:25.031,1,8.93,1:24.970
