GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
1,6.804,6.804,3,7.105,7.105,4,7.485,7.485,2,6.825,6.825
1,9.325,16.129,3,9.537,16.641,4,9.330,16.814,2,9.319,16.144
1,9.035,25.163,3,8.963,25.604,4,9.128,25.942,2,9.038,25.182
1,9.178,34.341,3,9.068,34.671,4,9.031,34.972,2,9.187,34.368
2,9.52,43.853,3,9.35,44.017,0,,DQ,1,9.33,43.694
