Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
2,8.92,1:19.28,4,9.54,1:20.00,3,9.13,1:19.30,1,9.21,1:19.26
3,9.67,1:28.943,4,9.97,1:29.965,1,9.28,1:28.579,2,9.39,1:28.646
