KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME
3,8.62,8.62,1,8.22,8.22,2,8.49,8.49,6,8.79,8.79,5,8.66,8.66,4,8.65,8.65
5,11.47,20.10,2,11.36,19.59,4,11.47,19.96,6,11.45,20.24,3,11.17,19.84,1,10.79,19.44
6,10.72,30.82,1,10.90,30.49,3,10.66,30.62,5,10.54,30.78,4,10.82,30.66,2,11.11,30.56
5,11.28,42.11,2,11.23,41.73,3,11.28,41.91,4,11.29,42.08,6,11.44,42.11,1,11.14,41.70
5,11.49,53.60,2,11.46,53.20,3,11.47,53.38,6,11.63,53.71,4,11.32,53.44,1,11.48,53.19
4,10.67,1:04.27,2,10.96,1:04.16,5,10.92,1:04.31,6,10.73,1:04.45,3,10.75,1:04.19,1,10.83,1:04.03
1,9.58,1:13.86,2,9.70,1:13.87,5,9.89,1:14.20,6,9.86,1:14.32,4,9.95,1:14.14,3,10.02,1:14.05
2,10.19,1:24.05,1,10.14,1:24.01,5,10.15,1:24.36,6,10.29,1:24.62,4,10.15,1:24.30,3,10.19,1:24.24
1,9.83,1:33.89,2,9.94,1:33.95,4,9.77,1:34.13,6,9.77,1:34.39,5,9.96,1:34.26,3,9.83,1:34.08
1,9.97,1:43.86,2,9.99,1:43.94,3,9.95,1:44.09,6,9.96,1:44.35,5,9.97,1:44.24,4,10.02,1:44.10
1,10.00,1:53.87,2,9.97,1:53.92,4,10.02,1:54.12,6,10.05,1:54.40,5,10.05,1:54.29,3,9.84,1:53.94
1,10.05,2:03.92,2,10.02,2:03.95,4,10.01,2:04.14,6,10.13,2:04.54,5,10.07,2:04.37,3,10.03,2:03.98
1,10.01,2:13.94,3,10.18,2:14.13,4,10.00,2:14.14,6,10.56,2:15.10,5,10.04,2:14.42,2,10.04,2:14.03
1,10.04,2:23.975,2,9.96,2:24.089,4,10.35,2:24.488,6,11.43,2:26.526,5,10.17,2:24.587,3,10.28,2:24.301
