Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,14.13,14.13,4,14.32,14.32,3,14.17,14.17,1,14.00,14.00
2,10.57,24.70,4,10.66,24.98,3,10.67,24.84,1,10.58,24.58
2,9.85,34.55,4,9.81,34.79,3,9.80,34.64,1,9.82,34.40
2,9.44,43.99,4,9.48,44.27,3,9.49,44.13,1,9.47,43.87
2,9.31,53.30,4,9.26,53.53,3,9.27,53.40,1,9.29,53.16
2,9.02,1:02.32,4,9.05,1:02.58,3,9.02,1:02.42,1,9.05,1:02.21
1,8.84,1:11.16,4,8.90,1:11.48,3,8.94,1:11.36,2,8.96,1:11.17
1,9.03,1:20.19,4,9.10,1:20.58,3,9.09,1:20.45,2,9.25,1:20.42
1,9.23,1:29.413,3,9.50,1:30.071,4,10.30,1:30.750,2,9.29,1:29.708
