Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
2,9.011,9.011,1,8.956,8.956,3,9.360,9.360,4,9.466,9.466,5,9.547,9.547
3,12.913,21.924,2,12.967,21.923,4,12.798,22.158,5,12.904,22.370,1,12.093,21.640
3,11.532,33.456,2,11.488,33.410,4,11.378,33.536,5,11.346,33.716,1,11.701,33.340
4,10.922,44.378,3,10.923,44.333,5,11.013,44.549,1,10.438,44.154,2,10.866,44.206
4,10.469,54.847,3,10.332,54.665,5,10.347,54.896,1,10.465,54.619,2,10.438,54.644
1,10.020,1:04.867,4,10.602,1:05.267,5,10.474,1:05.370,2,10.440,1:05.059,3,10.433,1:05.077
2,10.095,1:14.962,3,9.765,1:15.032,4,9.732,1:15.102,5,10.266,1:15.325,1,9.859,1:14.936
1,9.700,1:24.661,3,9.820,1:24.851,4,9.949,1:25.050,5,10.083,1:25.409,2,9.753,1:24.688
2,9.212,1:33.874,3,9.293,1:34.145,4,9.275,1:34.326,5,9.641,1:35.049,1,9.171,1:33.859
2,9.205,1:43.079,3,9.018,1:43.162,4,9.101,1:43.427,5,9.973,1:45.022,1,9.205,1:43.065
2,9.319,1:52.398,3,9.268,1:52.430,4,9.314,1:52.740,5,10.564,1:55.586,1,9.268,1:52.333
3,9.521,2:01.919,2,9.487,2:01.918,4,9.687,2:02.427,5,10.742,2:06.328,1,9.403,2:01.735
3,9.603,2:11.522,2,9.600,2:11.518,4,10.655,2:13.081,5,11.078,2:17.405,1,9.232,2:10.968
2,9.826,2:21.348,3,10.121,2:21.639,4,13.543,2:26.624,5,11.779,2:29.185,1,9.355,2:20.323
