Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
2,8.56,8.56,1,8.32,8.32,3,8.70,8.70,4,8.91,8.91,5,9.07,9.07
2,11.02,19.58,1,11.13,19.45,3,11.00,19.70,4,10.91,19.82,5,10.87,19.94
1,10.83,30.41,2,10.97,30.42,4,10.98,30.68,3,10.75,30.57,5,10.88,30.82
1,10.41,40.82,3,10.61,41.03,4,10.41,41.09,2,10.36,40.93,5,10.40,41.22
1,10.48,51.30,3,10.50,51.53,4,10.49,51.58,2,10.47,51.40,5,10.48,51.70
1,9.94,1:01.24,3,9.85,1:01.38,4,9.93,1:01.51,2,9.94,1:01.34,5,9.99,1:01.69
1,9.97,1:11.21,3,10.02,1:11.40,4,9.97,1:11.48,2,9.97,1:11.31,5,9.89,1:11.58
1,10.00,1:21.21,3,10.03,1:21.43,4,10.03,1:21.51,2,9.92,1:21.23,5,10.09,1:21.67
2,9.70,1:30.91,3,9.56,1:30.99,4,9.59,1:31.10,1,9.61,1:30.84,5,10.13,1:31.80
2,9.68,1:40.59,4,9.89,1:40.88,3,9.71,1:40.81,1,9.60,1:40.44,5,10.61,1:42.41
2,9.68,1:50.27,4,10.06,1:50.94,3,9.79,1:50.60,1,9.74,1:50.18,5,11.28,1:53.69
2,9.80,2:00.07,4,10.04,2:00.98,3,9.70,2:00.30,1,9.78,1:59.96,5,11.82,2:05.51
2,9.79,2:09.86,4,10.45,2:11.43,3,9.76,2:10.06,1,9.78,2:09.74,5,12.09,2:17.60
2,9.76,2:19.62,4,12.05,2:23.48,3,9.86,2:19.92,1,9.78,2:19.52,5,12.46,2:30.06
