Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,13.01,13.01,3,13.24,13.24,4,13.36,13.36,2,13.09,13.09
1,10.43,23.44,3,10.40,23.64,4,10.37,23.73,2,10.46,23.55
2,9.94,33.38,3,9.87,33.51,4,9.89,33.62,1,9.75,33.30
2,9.64,43.02,3,9.64,43.15,4,9.62,43.24,1,9.68,42.98
2,9.59,52.61,3,9.59,52.74,4,9.57,52.81,1,9.56,52.54
2,9.29,1:01.90,3,9.31,1:02.05,4,9.29,1:02.10,1,9.27,1:01.81
2,9.04,1:10.94,3,8.97,1:11.02,4,9.02,1:11.12,1,9.03,1:10.84
2,8.96,1:19.90,3,8.92,1:19.94,4,8.97,1:20.09,1,8.98,1:19.82
3,31.92,1:51.820,0,,PEN,1,9.09,1:29.179,2,9.81,1:29.628
