Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HU Ze POSITION,HU Ze LAP TIME,HU Ze ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
0,9.223,9.223,0,8.526,8.526,0,9.273,9.273,0,9.521,9.521,0,9.277,9.277,0,8.853,8.853
0,12.400,21.623,0,12.778,21.304,0,12.542,21.815,0,12.796,22.318,0,12.609,21.886,0,12.228,21.081
0,22.640,44.263,0,12.013,33.317,0,11.775,33.590,0,11.088,33.405,0,11.820,33.706,0,11.751,32.832
0,10.598,54.861,0,10.842,44.159,0,10.280,43.870,0,10.653,44.059,0,10.789,44.495,0,10.832,43.664
0,9.995,1:04.856,0,10.210,54.369,0,10.711,54.580,0,11.177,55.235,0,10.473,54.968,0,10.869,54.533
0,,,0,10.250,1:04.619,0,10.232,1:04.812,0,9.765,1:05.001,0,10.043,1:05.010,0,10.148,1:04.680
0,,1:15.367,0,10.379,1:14.998,0,10.364,1:15.175,0,10.248,1:15.249,0,10.425,1:15.435,0,9.993,1:14.674
0,10.793,1:26.159,0,10.754,1:25.752,0,10.749,1:25.924,0,10.928,1:26.177,0,10.740,1:26.175,0,10.864,1:25.537
0,9.985,1:36.144,0,10.258,1:36.010,0,10.208,1:36.132,0,9.678,1:35.855,0,9.960,1:36.135,0,10.407,1:35.944
0,9.233,1:45.376,0,9.546,1:45.556,0,9.593,1:45.725,0,9.624,1:45.479,0,9.628,1:45.763,0,9.282,1:45.225
0,8.667,1:54.043,0,8.892,1:54.449,0,9.009,1:54.734,0,9.292,1:54.771,0,8.886,1:54.649,0,9.306,1:54.532
0,8.911,2:02.955,0,8.560,2:03.009,0,9.080,2:03.813,0,9.111,2:03.882,0,8.727,2:03.377,0,8.737,2:03.269
0,8.872,2:11.827,0,8.770,2:11.779,0,9.049,2:12.863,0,9.079,2:12.961,0,8.827,2:12.203,0,8.964,2:12.233
0,9.375,2:21.201,0,9.110,2:20.889,0,9.364,2:22.227,0,9.712,2:22.673,0,8.785,2:20.988,0,9.222,2:21.454
