Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
4,8.52,8.52,2,8.29,8.29,3,8.51,8.51,1,7.55,7.55,5,8.65,8.65
5,10.96,19.49,2,10.96,19.25,3,10.73,19.25,1,10.91,18.47,4,10.81,19.46
4,10.56,30.05,3,10.55,29.81,2,10.29,29.54,1,10.29,28.77,5,10.60,30.06
5,10.61,40.67,2,10.57,40.38,3,10.83,40.38,1,10.64,39.42,4,10.55,40.61
4,10.67,51.34,3,10.84,51.22,2,10.83,51.21,1,10.75,50.18,5,10.85,51.47
4,10.91,1:02.26,2,10.85,1:02.08,3,10.87,1:02.08,1,10.90,1:01.08,5,10.87,1:02.34
5,10.43,1:12.69,3,10.34,1:12.42,2,10.20,1:12.29,1,10.98,1:12.07,4,10.26,1:12.60
4,10.12,1:22.81,1,9.91,1:22.33,2,10.15,1:22.44,3,10.42,1:22.49,5,10.21,1:22.82
3,9.67,1:32.49,2,9.94,1:32.28,1,9.83,1:32.27,4,10.07,1:32.57,5,9.77,1:32.60
4,10.05,1:42.55,1,10.04,1:42.33,2,10.09,1:42.37,5,10.20,1:42.77,3,9.92,1:42.52
4,10.05,1:52.61,2,9.93,1:52.26,1,9.80,1:52.18,5,9.97,1:52.75,3,10.07,1:52.60
3,9.39,2:02.00,2,9.64,2:01.90,1,9.47,2:01.65,5,10.05,2:02.80,4,9.44,2:02.04
1,9.04,2:11.05,3,9.31,2:11.22,2,9.57,2:11.22,5,10.26,2:13.06,4,9.23,2:11.28
1,9.44,2:20.486,0,,DQ,2,9.49,2:20.703,4,10.71,2:23.768,3,9.57,2:20.849
