BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
4,14.30,14.30,1,13.88,13.88,2,14.03,14.03,3,14.14,14.14,5,14.48,14.48
4,10.44,24.74,1,10.56,24.44,2,10.52,24.55,3,10.50,24.64,5,10.40,24.88
3,10.32,35.06,2,10.46,34.90,1,10.35,34.90,4,10.57,35.21,5,10.47,35.35
3,10.41,45.47,2,10.51,45.41,1,10.40,45.30,4,10.28,45.49,5,10.34,45.69
5,10.90,56.37,2,10.57,55.98,1,10.57,55.87,3,10.60,56.09,4,10.53,56.22
5,10.03,1:06.40,2,10.07,1:06.05,1,10.08,1:05.95,3,10.08,1:06.17,4,10.05,1:06.27
5,9.87,1:16.27,2,9.92,1:15.97,1,9.93,1:15.88,3,9.93,1:16.10,4,9.87,1:16.14
5,9.63,1:25.90,2,9.59,1:25.56,1,9.59,1:25.47,4,9.58,1:25.68,3,9.46,1:25.60
5,9.78,1:35.676,3,9.44,1:34.993,2,9.47,1:34.936,4,9.54,1:35.214,1,9.24,1:34.835
