Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,MIN Ryoung POSITION,MIN Ryoung LAP TIME,MIN Ryoung ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
1,6.805,6.805,2,6.862,6.862,3,6.920,6.920,4,7.245,7.245
1,9.311,16.116,3,9.437,16.298,2,9.327,16.247,4,9.228,16.473
3,9.062,25.177,2,8.766,25.063,1,8.786,25.032,4,9.001,25.474
3,9.120,34.297,2,8.953,34.016,1,8.946,33.978,4,8.944,34.417
3,9.37,43.659,2,9.09,43.099,1,9.02,42.992,4,9.36,43.770
