Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
4,14.14,14.14,1,13.91,13.91,5,14.30,14.30,2,13.99,13.99,3,14.12,14.12
1,10.42,24.56,2,10.79,24.70,5,10.72,25.02,4,10.91,24.90,3,10.66,24.78
3,10.64,35.20,1,10.42,35.12,5,10.46,35.48,2,10.27,35.17,4,10.54,35.32
4,9.91,45.11,2,9.84,44.96,5,9.82,45.30,1,9.68,44.85,3,9.72,45.04
4,9.61,54.72,2,9.54,54.50,5,9.60,54.90,1,9.63,54.48,3,9.60,54.64
4,9.57,1:04.29,1,9.52,1:04.02,5,9.55,1:04.45,2,9.64,1:04.12,3,9.59,1:04.23
2,9.59,1:13.88,4,18.05,1:22.07,3,9.61,1:14.06,5,27.33,1:31.45,1,9.56,1:13.79
2,9.51,1:23.39,4,14.88,1:36.95,3,10.22,1:24.28,5,23.83,1:55.28,1,9.39,1:23.18
2,10.05,1:33.435,4,12.43,1:49.375,3,10.46,1:34.738,5,13.35,2:08.626,1,9.59,1:32.769
