Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
3,7.111,7.111,1,6.767,6.767,2,7.045,7.045,5,7.351,7.351,4,7.164,7.164
2,9.028,16.139,1,9.279,16.046,4,9.468,16.513,5,9.560,16.911,3,9.168,16.332
2,8.948,25.087,1,8.835,24.881,4,9.088,25.600,5,9.068,25.978,3,8.885,25.216
1,9.100,34.186,4,27.517,52.397,2,9.288,34.888,3,9.587,35.565,5,34.568,59.783
1,9.78,43.960,4,19.48,1:11.872,2,9.97,44.853,3,9.95,45.510,5,23.04,1:22.815
