Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,8.69,8.69,4,9.30,9.30,6,9.42,9.42,3,9.07,9.07,2,8.97,8.97,5,9.39,9.39
1,13.18,21.87,4,12.98,22.28,5,13.00,22.42,3,13.09,22.16,2,12.93,21.90,6,13.23,22.62
1,11.98,33.85,5,11.92,34.20,6,11.84,34.26,3,11.90,34.06,2,12.15,34.05,4,11.51,34.13
1,10.67,44.52,2,10.34,44.54,6,10.62,44.88,4,10.50,44.56,5,10.70,44.75,3,10.41,44.54
2,10.21,54.73,4,10.33,54.87,5,10.31,55.19,3,10.27,54.83,6,10.90,55.65,1,10.18,54.72
2,10.45,1:05.18,1,10.10,1:04.97,6,10.40,1:05.59,3,10.37,1:05.20,5,9.85,1:05.50,4,10.56,1:05.28
1,10.05,1:15.23,2,10.33,1:15.30,5,10.21,1:15.80,3,10.12,1:15.32,4,9.84,1:15.34,6,10.55,1:15.83
1,10.08,1:25.31,3,10.40,1:25.70,6,10.47,1:26.27,2,10.36,1:25.68,4,10.39,1:25.73,5,10.15,1:25.98
1,10.53,1:35.84,2,10.38,1:36.08,6,10.44,1:36.71,3,10.53,1:36.21,4,10.54,1:36.27,5,10.49,1:36.47
1,10.52,1:46.36,3,10.66,1:46.74,6,10.64,1:47.35,2,10.49,1:46.70,4,10.63,1:46.90,5,10.69,1:47.16
1,10.40,1:56.76,2,10.09,1:56.83,6,10.85,1:58.20,3,10.29,1:56.99,4,10.26,1:57.16,5,10.21,1:57.37
1,10.00,2:06.76,2,10.05,2:06.88,6,11.37,2:09.57,4,10.12,2:07.11,3,9.81,2:06.97,5,10.08,2:07.45
1,9.91,2:16.67,2,10.03,2:16.91,6,11.80,2:21.37,3,9.94,2:17.05,4,10.24,2:17.21,5,9.84,2:17.29
3,10.50,2:27.161,1,10.09,2:26.996,6,11.69,2:33.060,2,9.97,2:27.020,4,10.04,2:27.242,5,9.97,2:27.252
