AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME
4,14.62,14.62,3,14.42,14.42,2,14.36,14.36,5,14.80,14.80,1,14.27,14.27
4,10.21,24.83,3,10.28,24.70,1,10.15,24.51,5,10.15,24.95,2,10.26,24.53
4,9.82,34.65,3,9.88,34.58,2,9.94,34.45,5,9.85,34.80,1,9.87,34.40
3,9.46,44.11,4,9.60,44.18,2,9.56,44.01,5,9.54,44.34,1,9.52,43.92
3,9.28,53.39,4,9.31,53.49,2,9.33,53.34,5,9.28,53.62,1,9.33,53.25
5,9.32,1:02.71,2,9.02,1:02.51,4,9.25,1:02.59,3,8.96,1:02.58,1,9.17,1:02.42
5,9.18,1:11.89,2,9.06,1:11.57,4,9.28,1:11.87,3,9.12,1:11.70,1,9.14,1:11.56
4,9.21,1:21.10,1,9.00,1:20.57,5,9.34,1:21.21,2,8.98,1:20.68,3,9.29,1:20.85
4,9.40,1:30.491,2,9.12,1:29.684,5,9.44,1:30.651,1,8.92,1:29.594,3,9.36,1:30.208
