Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Declan HISCOX POSITION,Declan HISCOX LAP TIME,Declan HISCOX ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,8.12,8.12,2,8.24,8.24,3,8.41,8.41,4,8.65,8.65,5,8.81,8.81
1,11.26,19.38,2,11.25,19.49,3,11.16,19.57,5,11.15,19.80,4,10.89,19.70
1,10.66,30.04,2,10.61,30.10,3,10.64,30.21,5,10.67,30.47,4,10.64,30.34
1,10.56,40.60,2,10.59,40.69,3,10.57,40.78,5,10.55,41.02,4,10.55,40.89
1,10.38,50.98,2,10.36,51.05,3,10.37,51.15,5,10.39,51.41,4,10.36,51.25
2,10.57,1:01.55,1,10.48,1:01.53,3,10.56,1:01.71,5,10.56,1:01.97,4,10.57,1:01.82
2,10.07,1:11.62,1,9.97,1:11.50,3,10.01,1:11.72,5,10.04,1:12.01,4,10.01,1:11.83
2,9.96,1:21.58,1,9.94,1:21.44,3,9.97,1:21.69,5,10.12,1:22.13,4,9.97,1:21.80
2,9.59,1:31.17,1,9.56,1:31.00,3,9.59,1:31.28,5,9.97,1:32.10,4,9.59,1:31.39
4,9.71,1:40.88,1,9.53,1:40.53,2,9.40,1:40.68,5,10.31,1:42.41,3,9.41,1:40.80
4,9.90,1:50.78,1,9.51,1:50.04,2,9.46,1:50.14,5,10.74,1:53.15,3,9.48,1:50.28
4,10.19,2:00.97,1,9.56,1:59.60,2,9.54,1:59.68,5,11.27,2:04.42,3,9.48,1:59.76
4,10.46,2:11.43,1,9.64,2:09.24,2,9.64,2:09.32,5,11.22,2:15.64,3,9.68,2:09.44
4,10.85,2:22.277,1,9.71,2:18.943,2,9.93,2:19.241,5,11.34,2:26.973,3,9.91,2:19.350
