Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME
6,13.69,13.69,4,13.31,13.31,2,13.13,13.13,5,13.50,13.50,3,13.25,13.25,1,13.11,13.11
6,18.07,31.76,4,18.07,31.38,3,18.09,31.22,5,18.04,31.54,2,17.83,31.08,1,17.75,30.86
6,15.88,47.64,4,15.94,47.32,3,15.94,47.16,5,15.92,47.46,2,15.92,47.00,1,16.00,46.86
6,15.05,1:02.69,4,15.16,1:02.48,3,15.14,1:02.30,5,15.12,1:02.58,2,15.14,1:02.14,1,15.08,1:01.94
6,14.71,1:17.40,4,14.67,1:17.15,3,14.68,1:16.98,5,14.71,1:17.29,2,14.69,1:16.83,1,14.64,1:16.58
2,12.39,1:29.79,5,13.00,1:30.15,4,13.01,1:29.99,6,12.99,1:30.28,1,12.92,1:29.75,3,13.28,1:29.86
1,11.01,1:40.80,5,10.97,1:41.12,4,11.08,1:41.07,6,11.00,1:41.28,2,11.18,1:40.93,3,11.14,1:41.00
3,10.91,1:51.71,5,10.74,1:51.86,2,10.55,1:51.62,6,10.75,1:52.03,1,10.51,1:51.44,4,10.85,1:51.85
3,10.13,2:01.84,5,10.32,2:02.18,2,10.22,2:01.84,6,10.25,2:02.28,1,10.32,2:01.76,4,10.16,2:02.01
6,26.68,2:28.52,2,9.80,2:11.98,1,10.04,2:11.88,4,9.87,2:12.15,5,23.45,2:25.21,3,9.98,2:11.99
6,17.17,2:45.69,4,9.65,2:21.63,2,9.51,2:21.39,3,9.37,2:21.52,5,15.09,2:40.30,1,9.29,2:21.28
6,15.05,3:00.74,4,9.32,2:30.95,2,9.35,2:30.74,3,9.31,2:30.83,5,13.09,2:53.39,1,9.36,2:30.64
6,11.98,3:12.72,4,9.34,2:40.29,2,9.43,2:40.17,3,9.39,2:40.22,5,12.80,3:06.19,1,9.40,2:40.04
5,11.44,3:24.156,2,9.45,2:49.734,0,,PEN,3,9.61,2:49.830,4,12.06,3:18.248,1,9.40,2:49.436
