Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,Jennifer PICKERING POSITION,Jennifer PICKERING LAP TIME,Jennifer PICKERING ELAPSED TIME
3,10.93,10.93,5,11.35,11.35,4,11.15,11.15,2,10.78,10.78,1,10.63,10.63,6,11.58,11.58
3,14.10,25.03,5,14.03,25.38,4,14.02,25.17,2,14.09,24.87,1,14.13,24.76,6,13.96,25.54
3,12.85,37.88,5,12.79,38.17,4,12.80,37.97,2,12.96,37.83,1,13.02,37.78,6,12.84,38.38
4,11.76,49.64,6,11.75,49.92,3,11.65,49.62,1,11.59,49.42,2,11.74,49.52,5,11.29,49.67
5,10.99,1:00.63,6,10.82,1:00.74,4,10.86,1:00.48,1,10.70,1:00.12,3,10.80,1:00.32,2,10.57,1:00.24
5,10.79,1:11.42,6,10.80,1:11.54,4,10.93,1:11.41,1,10.96,1:11.08,3,10.91,1:11.23,2,10.94,1:11.18
3,10.45,1:21.87,6,10.58,1:22.12,5,10.57,1:21.98,2,10.77,1:21.85,4,10.73,1:21.96,1,10.57,1:21.75
2,10.20,1:32.07,6,10.29,1:32.41,4,10.23,1:32.21,3,10.27,1:32.12,5,10.33,1:32.29,1,10.23,1:31.98
2,10.26,1:42.33,5,10.31,1:42.72,4,10.41,1:42.62,3,10.35,1:42.47,6,10.46,1:42.75,1,10.24,1:42.22
1,10.08,1:52.41,2,9.74,1:52.46,5,10.18,1:52.80,4,10.24,1:52.71,6,10.63,1:53.38,3,10.41,1:52.63
2,9.72,2:02.13,1,9.48,2:01.94,4,10.17,2:02.97,3,10.16,2:02.87,6,10.76,2:04.14,5,10.44,2:03.07
2,9.79,2:11.92,1,9.87,2:11.81,3,10.18,2:13.15,4,10.55,2:13.42,6,11.15,2:15.29,5,10.50,2:13.57
2,10.15,2:22.07,1,10.17,2:21.98,3,10.45,2:23.60,4,10.73,2:24.15,6,11.44,2:26.73,5,10.70,2:24.27
2,10.31,2:32.368,1,10.33,2:32.31,3,10.88,2:34.462,4,10.88,2:35.006,6,11.50,2:38.210,5,10.86,2:35.114
