DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME,Brandon KIM POSITION,Brandon KIM LAP TIME,Brandon KIM ELAPSED TIME
1,14.33,14.33,4,14.75,14.75,5,14.89,14.89,3,14.60,14.60,2,14.50,14.50
1,10.98,25.31,4,10.98,25.73,5,10.96,25.85,3,10.97,25.57,2,10.98,25.48
1,10.73,36.04,4,10.68,36.41,5,10.67,36.52,3,10.68,36.25,2,10.70,36.18
1,10.53,46.57,4,10.58,46.99,5,10.57,47.09,3,10.58,46.83,2,10.53,46.71
1,10.29,56.86,4,10.10,57.09,5,10.16,57.25,3,10.13,56.96,2,10.17,56.88
3,9.77,1:06.63,4,9.60,1:06.69,5,9.73,1:06.98,2,9.38,1:06.34,1,9.36,1:06.24
4,9.94,1:16.57,3,9.57,1:16.26,5,9.70,1:16.68,1,9.31,1:15.65,2,9.61,1:15.85
4,9.85,1:26.42,3,9.75,1:26.01,5,9.96,1:26.64,1,9.72,1:25.37,2,9.62,1:25.47
4,10.03,1:36.45,3,10.03,1:36.04,5,10.41,1:37.05,0,,PHOTO,0,,PHOTO
