Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
2,13.04,13.04,3,13.17,13.17,1,12.95,12.95,4,13.29,13.29
3,9.97,23.01,1,9.63,22.80,2,9.96,22.91,4,9.75,23.04
3,9.59,32.60,1,9.62,32.42,2,9.60,32.51,4,9.65,32.69
3,9.89,42.49,2,9.93,42.35,1,9.82,42.33,4,9.94,42.63
3,10.08,52.57,2,10.11,52.46,1,9.89,52.22,4,10.06,52.69
3,10.10,1:02.67,2,10.10,1:02.56,1,10.06,1:02.28,4,10.10,1:02.79
3,10.07,1:12.74,2,10.08,1:12.64,1,10.07,1:12.35,4,10.13,1:12.92
3,9.89,1:22.63,2,9.88,1:22.52,1,9.93,1:22.28,4,10.30,1:23.22
3,9.94,1:32.561,2,9.90,1:32.414,1,10.12,1:32.398,4,11.35,1:34.565
