Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME
1,7.23,7.23,3,7.58,7.58,2,7.48,7.48,4,7.65,7.65
1,9.70,16.93,4,9.95,17.53,2,9.58,17.06,3,9.59,17.24
2,9.45,26.38,4,9.11,26.64,1,9.23,26.29,3,9.18,26.42
2,9.76,36.14,3,9.51,36.15,1,9.30,35.59,4,9.86,36.28
3,9.81,45.949,2,9.42,45.568,1,9.43,45.016,0,,PEN
