PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Yonaton Spencer SUBIN POSITION,Yonaton Spencer SUBIN LAP TIME,Yonaton Spencer SUBIN ELAPSED TIME
3,16.04,16.04,1,15.67,15.67,2,15.83,15.83,4,16.14,16.14
3,12.37,28.41,1,12.49,28.16,2,12.39,28.22,4,12.37,28.51
3,11.48,39.89,2,11.54,39.70,1,11.32,39.54,4,11.48,39.99
3,10.34,50.23,2,10.42,50.12,1,10.42,49.96,4,10.31,50.30
3,9.90,1:00.13,2,9.89,1:00.01,1,9.90,59.86,4,9.98,1:00.28
3,9.43,1:09.56,2,9.52,1:09.53,1,9.59,1:09.45,4,9.76,1:10.04
2,8.92,1:18.48,3,8.98,1:18.51,1,8.94,1:18.39,4,9.89,1:19.93
2,8.87,1:27.35,3,9.00,1:27.51,1,8.85,1:27.24,4,10.17,1:30.10
1,8.93,1:36.274,3,8.88,1:36.387,2,9.09,1:36.325,4,10.26,1:40.358
