ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,ROES Sven POSITION,ROES Sven LAP TIME,ROES Sven ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME
2,7.07,7.07,1,6.90,6.90,4,7.23,7.23,3,7.15,7.15,5,7.42,7.42
4,9.04,16.11,1,8.84,15.74,3,8.87,16.10,2,8.85,16.00,5,8.81,16.23
4,8.58,24.69,1,8.37,24.11,3,8.51,24.61,2,8.44,24.44,5,8.56,24.79
5,8.67,33.36,1,8.61,32.72,3,8.44,33.05,2,8.55,32.99,4,8.46,33.25
5,8.74,42.100,2,8.92,41.640,1,8.51,41.56,3,8.89,41.880,4,8.75,42.007
