Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,13.76,13.76,3,13.83,13.83,2,13.77,13.77,4,13.95,13.95
3,10.82,24.58,4,10.84,24.67,1,10.73,24.50,2,10.58,24.53
2,10.58,35.16,4,10.64,35.31,3,10.67,35.17,1,10.57,35.10
1,10.08,45.24,3,10.08,45.39,2,10.13,45.30,4,10.38,45.48
1,10.12,55.36,3,10.22,55.61,2,10.15,55.45,4,10.25,55.73
2,9.93,1:05.29,3,9.80,1:05.41,1,9.72,1:05.17,4,9.84,1:05.57
2,9.77,1:15.06,3,9.85,1:15.26,1,9.76,1:14.93,4,9.90,1:15.47
2,9.84,1:24.90,3,10.05,1:25.31,1,9.85,1:24.78,4,10.33,1:25.80
2,10.16,1:35.060,3,10.25,1:35.559,1,9.88,1:34.657,4,11.28,1:37.071
