MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME
2,9.77,9.77,5,10.10,10.10,6,10.25,10.25,4,10.00,10.00,1,9.65,9.65,3,9.91,9.91
2,14.90,24.67,5,14.99,25.09,6,15.00,25.25,4,14.91,24.91,1,14.92,24.57,3,14.88,24.79
2,14.13,38.80,5,14.16,39.25,6,14.18,39.43,4,14.19,39.10,1,14.15,38.72,3,14.11,38.90
2,13.96,52.76,4,13.72,52.97,6,13.66,53.09,5,13.93,53.03,1,13.93,52.65,3,13.98,52.88
2,11.00,1:03.76,1,10.66,1:03.63,5,10.98,1:04.07,6,11.25,1:04.28,3,11.21,1:03.86,4,11.06,1:03.94
1,10.57,1:14.33,1,10.70,1:14.33,5,10.49,1:14.56,6,10.36,1:14.64,3,10.48,1:14.34,4,10.51,1:14.45
2,10.07,1:24.40,3,10.16,1:24.49,5,10.10,1:24.66,6,10.12,1:24.76,1,9.93,1:24.27,4,10.09,1:24.54
2,10.30,1:34.70,3,10.32,1:34.81,5,10.35,1:35.01,6,10.39,1:35.15,1,10.35,1:34.62,4,10.35,1:34.89
2,10.11,1:44.81,3,10.11,1:44.92,5,10.17,1:45.18,6,10.17,1:45.32,1,10.09,1:44.71,4,10.15,1:45.04
6,23.93,2:08.74,2,9.70,1:54.62,4,9.68,1:54.86,5,9.95,1:55.27,1,9.63,1:54.34,3,9.74,1:54.78
6,23.40,2:32.14,2,9.39,2:04.01,4,9.54,2:04.40,5,10.23,2:05.50,1,9.54,2:03.88,3,9.55,2:04.33
6,13.82,2:45.96,2,9.66,2:13.67,4,9.72,2:14.12,5,10.72,2:16.22,1,9.67,2:13.55,3,9.77,2:14.10
6,11.68,2:57.64,2,9.88,2:23.55,5,33.43,2:47.55,4,11.29,2:27.51,1,9.90,2:23.45,3,10.43,2:24.53
5,12.57,3:10.208,2,10.47,2:34.028,6,25.14,3:12.680,4,11.83,2:39.343,1,10.31,2:33.761,3,11.13,2:35.662
