Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
1,9.090,9.090,5,9.740,9.740,4,9.530,9.530,3,9.470,9.470,2,9.310,9.310
3,13.270,22.370,5,12.790,22.540,4,12.940,22.470,2,12.860,22.340,1,12.820,22.140
2,13.210,35.590,5,13.480,36.020,4,13.370,35.850,3,13.350,35.700,1,13.440,35.580
1,13.440,49.040,5,13.510,49.540,4,13.500,49.350,3,13.360,49.070,2,13.460,49.050
2,13.430,1:02.470,5,13.260,1:02.800,4,13.370,1:02.720,3,13.440,1:02.510,1,13.330,1:02.380
2,12.560,1:15.030,0,,,3,12.440,1:15.160,4,12.650,1:15.160,1,12.610,1:15.000
3,10.860,1:25.900,4,0.000,1:26.100,2,10.630,1:25.800,5,11.250,1:26.420,1,10.570,1:25.570
3,10.540,1:36.440,4,10.410,1:36.510,2,10.500,1:36.300,5,10.630,1:37.050,1,10.510,1:36.090
2,10.370,1:46.820,4,10.540,1:47.050,3,10.540,1:46.850,5,10.480,1:47.530,1,10.670,1:46.760
3,10.570,1:57.390,4,10.500,1:57.560,1,10.250,1:57.100,5,10.550,1:58.080,2,10.350,1:57.110
3,10.330,2:07.730,4,10.340,2:07.900,2,10.510,2:07.610,5,10.890,2:08.970,1,10.300,2:07.420
4,11.160,2:18.890,3,10.210,2:18.120,2,10.170,2:17.790,5,11.530,2:20.510,1,10.330,2:17.750
4,11.780,2:30.670,3,10.260,2:28.380,2,10.450,2:28.240,5,11.980,2:32.500,1,10.390,2:28.150
4,12.300,2:42.970,3,10.720,2:39.100,2,10.660,2:38.900,5,12.720,2:45.220,1,10.660,2:38.810
