KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
2,11.83,11.83,6,12.05,12.05,5,12.04,12.04,4,11.88,11.88,3,11.86,11.86,1,11.74,11.74
3,17.28,29.11,1,16.81,28.86,6,17.47,29.51,2,17.10,28.98,4,17.35,29.21,5,17.65,29.39
3,14.20,43.31,1,14.16,43.02,6,14.17,43.68,2,14.12,43.10,4,14.27,43.48,4,14.09,43.48
5,11.76,55.07,3,11.84,54.86,2,11.12,54.80,4,11.83,54.93,6,11.75,55.23,1,11.29,54.77
4,10.91,1:05.98,3,11.10,1:05.96,1,10.89,1:05.69,5,11.14,1:06.07,6,10.94,1:06.17,2,11.11,1:05.88
1,10.10,1:16.08,4,10.40,1:16.36,3,10.49,1:16.18,5,10.35,1:16.42,6,10.41,1:16.58,2,10.28,1:16.16
3,10.45,1:26.53,2,10.04,1:26.40,4,10.43,1:26.61,5,10.29,1:26.71,6,10.18,1:26.76,1,10.14,1:26.30
3,10.18,1:36.71,2,10.24,1:36.64,5,10.24,1:36.85,6,10.27,1:36.98,3,9.95,1:36.71,1,10.26,1:36.56
3,10.14,1:46.85,2,10.11,1:46.75,4,10.11,1:46.96,5,10.08,1:47.06,6,10.45,1:47.16,1,10.09,1:46.65
3,9.87,1:56.72,2,9.94,1:56.69,4,9.89,1:56.85,6,10.12,1:57.18,5,9.81,1:56.97,1,9.97,1:56.62
1,9.28,2:06.00,3,9.47,2:06.16,4,9.43,2:06.28,6,10.37,2:07.55,5,9.41,2:06.38,2,9.42,2:06.04
1,9.05,2:15.05,3,9.22,2:15.38,4,9.27,2:15.55,6,10.67,2:18.22,5,9.28,2:15.66,2,9.18,2:15.22
1,9.27,2:24.32,3,9.41,2:24.79,4,9.33,2:24.88,6,10.94,2:29.16,5,9.39,2:25.05,2,9.17,2:24.39
1,9.52,2:33.841,4,9.90,2:34.691,3,9.49,2:34.363,6,11.34,2:40.501,5,10.02,2:35.069,2,9.60,2:33.981
