EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
2,13.61,,3,13.70,13.70,4,13.79,13.79,1,13.58,13.58,5,13.96,13.96
3,10.00,,3,9.91,23.61,2,9.69,23.48,1,9.89,23.47,5,9.84,23.80
4,9.57,,2,9.39,33.00,1,9.42,32.90,3,9.54,33.01,5,9.48,33.28
3,9.68,,2,9.75,42.75,1,9.75,42.65,5,9.92,42.93,4,9.62,42.90
4,9.91,,2,9.81,52.56,1,9.79,52.44,5,9.96,52.89,3,9.82,52.72
3,9.55,,2,9.58,1:02.14,1,9.61,1:02.05,4,9.68,1:02.57,5,10.56,1:03.28
3,9.66,,2,9.67,1:11.81,1,9.66,1:11.71,4,9.70,1:12.27,5,14.27,1:17.55
3,9.60,,2,9.73,1:21.54,1,9.73,1:21.44,4,9.78,1:22.05,5,16.78,1:34.33
3,10.03,,2,9.83,1:31.37,1,9.75,1:31.19,3,10.15,1:32.209,4,13.90,1:48.232
