WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
2,13.29,13.29,4,13.61,13.61,1,13.26,13.26,3,13.39,13.39
2,10.48,23.77,4,10.42,24.03,3,10.55,23.81,1,10.25,23.64
2,10.01,33.78,4,10.22,34.25,3,10.05,33.86,1,10.10,33.74
2,10.01,43.79,4,9.85,44.10,1,9.90,43.76,3,10.09,43.83
1,9.83,53.62,4,9.92,54.02,2,9.92,53.68,3,9.89,53.72
3,9.84,1:03.46,4,9.80,1:03.82,1,9.76,1:03.44,2,9.73,1:03.45
1,9.48,1:12.94,4,9.56,1:13.38,3,9.90,1:13.34,2,9.87,1:13.32
1,9.22,1:22.16,2,9.71,1:23.09,4,9.88,1:23.22,3,9.85,1:23.17
1,10.26,1:32.413,2,10.04,1:33.130,4,10.18,1:33.395,3,10.14,1:33.306
