SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
4,7.52,7.52,3,7.39,7.39,1,7.01,7.01,2,7.11,7.11
3,9.31,16.83,4,9.44,16.83,1,9.14,16.15,2,9.21,16.32
3,8.56,25.39,4,8.84,25.67,1,8.77,24.92,2,8.85,25.17
2,8.51,33.90,4,8.89,34.56,1,8.90,33.82,3,9.02,34.19
1,8.91,42.807,4,9.09,43.643,2,9.18,43.000,3,9.21,43.393
