Andrey MIKHASEV POSITION,Andrey MIKHASEV LAP TIME,Andrey MIKHASEV ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME
2,12.96,12.96,1,12.93,12.93,5,13.30,13.30,4,13.08,13.08,3,13.04,13.04
2,9.84,22.80,1,9.77,22.70,5,9.94,23.24,4,9.94,23.02,3,9.86,22.90
2,9.70,32.50,1,9.69,32.39,5,9.68,32.92,4,9.70,32.72,3,9.73,32.63
2,9.27,41.77,1,9.24,41.63,5,9.26,42.18,4,9.21,41.93,3,9.19,41.82
3,9.22,50.99,1,9.14,50.77,5,9.04,51.22,4,9.13,51.06,2,9.05,50.87
5,9.31,1:00.30,1,9.05,59.82,4,9.05,1:00.27,3,9.00,1:00.06,2,9.01,59.88
5,9.39,1:09.69,1,8.92,1:08.74,4,9.22,1:09.49,3,9.00,1:09.06,2,8.92,1:08.80
5,9.86,1:19.55,1,9.10,1:17.84,4,9.31,1:18.80,3,9.13,1:18.19,2,9.09,1:17.89
5,10.75,1:30.291,1,9.25,1:27.089,4,9.71,1:28.507,3,9.43,1:27.619,2,9.37,1:27.255
