Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME
1,9.733,9.733,3,9.949,9.949,2,9.927,9.927,4,10.104,10.104,5,10.274,10.274
1,14.250,23.983,2,14.221,24.170,3,14.274,24.201,4,14.202,24.306,5,14.312,24.586
1,13.532,37.515,2,13.511,37.681,3,13.513,37.714,4,13.578,37.885,5,13.471,38.057
1,13.568,51.083,3,13.553,51.233,2,13.490,51.204,4,13.485,51.370,5,13.566,51.623
2,13.353,1:04.436,3,13.430,1:04.663,1,13.179,1:04.383,4,13.324,1:04.694,5,13.296,1:04.919
2,11.856,1:16.291,3,11.817,1:16.480,1,11.788,1:16.170,4,11.897,1:16.591,5,11.825,1:16.743
2,11.898,1:28.189,3,12.023,1:28.503,1,11.978,1:28.148,4,11.970,1:28.560,5,11.997,1:28.740
2,11.857,1:40.046,4,11.745,1:40.248,1,11.771,1:39.919,3,11.621,1:40.181,5,11.694,1:40.434
2,11.073,1:51.119,4,10.990,1:51.238,1,11.055,1:50.973,3,10.994,1:51.174,5,11.029,1:51.463
1,10.221,2:01.341,4,10.436,2:01.674,3,10.508,2:01.481,2,10.198,2:01.373,5,10.430,2:01.893
2,10.158,2:11.499,3,9.833,2:11.507,4,10.196,2:11.677,1,9.921,2:11.294,5,9.919,2:11.812
2,9.680,2:21.179,3,9.790,2:21.297,4,9.654,2:21.330,1,9.791,2:21.084,5,10.013,2:21.825
1,9.778,2:30.957,3,9.867,2:31.164,4,9.955,2:31.285,2,10.077,2:31.161,5,10.531,2:32.356
2,10.329,2:41.286,1,10.101,2:41.265,4,10.218,2:41.503,3,10.146,2:41.307,5,11.194,2:43.549
