Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
1,6.86,6.86,2,6.97,6.97,3,7.40,7.40,4,8.14,8.14
1,9.18,16.04,2,9.32,16.29,3,9.40,16.80,4,9.51,17.65
1,8.95,25.00,3,8.76,25.06,2,8.24,25.04,4,8.77,26.43
4,33.71,58.71,1,9.06,34.13,2,9.14,34.18,3,8.99,35.42
4,17.02,1:15.721,1,9.66,43.788,2,10.04,44.214,3,9.23,44.642
