Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,DEL MEDICO Vincent POSITION,DEL MEDICO Vincent LAP TIME,DEL MEDICO Vincent ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME
2,6.864,6.864,1,6.807,6.807,3,6.911,6.911,4,9.682,9.682
2,9.249,16.112,1,8.686,15.492,3,9.310,16.220,4,6.671,16.353
1,8.799,24.910,2,9.430,24.922,4,9.121,25.341,3,8.870,25.222
2,9.007,33.917,1,8.590,33.512,4,8.842,34.182,3,8.923,34.145
3,22.23,56.143,1,9.69,43.199,0,,DQ,2,9.47,43.615
