Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
4,13.54,13.54,1,12.73,12.73,3,13.14,13.14,2,12.87,12.87
3,9.08,22.62,1,9.49,22.22,4,9.50,22.64,2,9.49,22.36
3,9.22,31.84,1,9.29,31.51,4,9.41,32.05,2,9.29,31.65
3,9.26,41.10,1,9.27,40.78,4,9.22,41.27,2,9.35,41.00
2,9.14,50.24,1,9.27,50.05,4,9.27,50.54,3,9.42,50.42
2,9.42,59.66,1,9.51,59.56,3,9.39,59.93,4,9.60,1:00.02
2,9.69,1:09.35,1,9.70,1:09.26,3,9.69,1:09.62,4,9.75,1:09.77
1,9.84,1:19.19,2,10.00,1:19.26,3,9.77,1:19.39,4,9.95,1:19.72
1,10.18,1:29.363,2,10.53,1:29.786,4,10.74,1:30.124,3,10.09,1:29.806
