JANG Won-Hoon POSITION,JANG Won-Hoon LAP TIME,JANG Won-Hoon ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Stefan DRAB POSITION,Stefan DRAB LAP TIME,Stefan DRAB ELAPSED TIME,LOUGHREY Stuart POSITION,LOUGHREY Stuart LAP TIME,LOUGHREY Stuart ELAPSED TIME,YE Liming POSITION,YE Liming LAP TIME,YE Liming ELAPSED TIME
0,9.366,9.366,0,8.406,8.406,0,8.842,8.842,0,,,0,8.345,8.345,0,12.009,12.009,0,9.496,9.496
0,12.122,21.488,0,12.636,21.042,0,12.413,21.255,0,,,0,14.674,23.019,0,9.088,21.097,0,12.258,21.754
0,12.132,33.619,0,12.178,33.220,0,12.166,33.421,0,,,0,10.483,33.502,0,11.799,32.896,0,11.998,33.752
0,11.974,45.594,0,11.835,45.055,0,12.128,45.549,0,,,0,11.968,45.470,0,12.197,45.093,0,11.974,45.726
0,11.573,57.167,0,11.711,56.766,0,11.483,57.031,0,,,0,11.070,56.540,0,12.264,57.357,0,11.540,57.267
0,10.447,1:07.614,0,10.357,1:07.122,0,9.980,1:07.012,0,,,0,10.734,1:07.274,0,9.894,1:07.251,0,10.406,1:07.673
0,10.144,1:17.758,0,10.473,1:17.595,0,10.437,1:17.449,0,,,0,10.515,1:17.789,0,10.096,1:17.347,0,10.300,1:17.972
0,10.906,1:28.664,0,10.611,1:28.206,0,10.913,1:28.361,0,,,0,10.661,1:28.450,0,10.980,1:28.327,0,10.810,1:28.782
0,9.407,1:38.072,0,9.952,1:38.158,0,9.804,1:38.165,0,,,0,9.872,1:38.323,0,9.881,1:38.208,0,9.499,1:38.281
0,9.132,1:47.204,0,9.260,1:47.417,0,9.360,1:47.526,0,,,0,9.818,1:48.141,0,9.770,1:47.978,0,9.255,1:47.536
0,9.252,1:56.455,0,9.061,1:56.478,0,9.224,1:56.750,0,,,0,9.698,1:57.838,0,,,0,9.485,1:57.022
0,9.524,2:05.980,0,9.416,2:05.894,0,9.905,2:06.655,0,,,0,10.207,2:08.045,0,,2:06.002,0,9.212,2:06.233
0,9.926,2:15.906,0,9.976,2:15.870,0,10.890,2:17.546,0,,,0,10.517,2:18.562,0,13.366,2:19.368,0,9.950,2:16.183
0,,,0,,,0,,,0,,,0,,,0,,,0,,
