WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Catherine ALEXANDER POSITION,Catherine ALEXANDER LAP TIME,Catherine ALEXANDER ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
3,10.18,10.18,2,10.10,10.10,1,9.96,9.96,4,10.27,10.27,6,10.42,10.42,5,10.40,10.40
3,13.83,24.01,2,13.77,23.87,1,13.78,23.74,4,13.84,24.11,6,13.92,24.34,5,13.78,24.18
3,13.58,37.59,2,13.60,37.47,1,13.58,37.32,4,13.57,37.68,6,13.57,37.91,5,13.60,37.78
3,13.10,50.69,2,13.09,50.56,1,13.07,50.39,4,13.12,50.80,6,13.11,51.02,5,13.11,50.89
3,12.70,1:03.39,2,12.71,1:03.27,1,12.77,1:03.16,4,12.70,1:03.50,6,12.71,1:03.73,5,12.70,1:03.59
4,12.04,1:15.43,3,12.05,1:15.32,2,12.05,1:15.21,5,11.97,1:15.47,6,11.85,1:15.58,1,11.34,1:14.93
2,10.60,1:26.03,5,10.84,1:26.16,3,10.92,1:26.13,4,10.66,1:26.13,6,10.69,1:26.27,1,11.06,1:25.99
3,10.62,1:36.65,4,10.62,1:36.78,5,10.83,1:36.96,2,10.42,1:36.55,6,10.93,1:37.20,1,10.47,1:36.46
3,10.06,1:46.71,4,10.02,1:46.80,5,9.99,1:46.95,2,10.06,1:46.61,6,10.10,1:47.30,1,10.06,1:46.52
3,10.09,1:56.80,4,10.09,1:56.89,5,10.14,1:57.09,2,10.06,1:56.67,6,10.41,1:57.71,1,10.05,1:56.57
2,9.88,2:06.68,3,9.91,2:06.80,5,10.14,2:07.23,4,10.14,2:06.81,6,10.83,2:08.54,1,9.87,2:06.44
3,9.87,2:16.55,2,9.54,2:16.34,5,10.46,2:17.69,4,10.55,2:17.36,6,11.16,2:19.70,1,9.83,2:16.27
3,10.28,2:26.83,1,9.66,2:26.00,5,10.82,2:28.51,4,10.94,2:28.30,6,11.83,2:31.53,2,9.89,2:26.16
3,10.83,2:37.656,1,9.94,2:35.931,5,11.26,2:39.768,4,11.34,2:39.632,6,12.46,2:43.984,2,9.95,2:36.107
